"id","vehicle_manufacturer_id","name","created_at","updated_at","vehicle_type_id","seats","doors"
19,3,"HILUX","2019-01-16 12:49:26.288018","2019-01-16 12:49:26.288018",9,5,2
27,4,"NAVARA ","2019-01-16 12:49:26.496418","2019-01-16 12:49:26.496418",9,5,4
38,6,"A5","2019-01-16 12:49:26.777193","2019-01-16 12:49:26.777193",3,5,4
39,6,"TT","2019-01-16 12:49:26.801052","2019-01-16 12:49:26.801052",3,4,2
46,8,"TRITON ","2019-01-16 12:49:26.980177","2019-01-16 12:49:26.980177",9,5,4
62,14,"BT 50 ","2019-01-16 12:49:27.408724","2019-01-16 12:49:27.408724",9,5,4
66,15,"408","2019-01-16 12:49:27.510097","2019-01-16 12:49:27.510097",4,5,4
90,9,"430i","2019-01-28 02:53:36.767439","2019-01-28 02:53:36.767439",3,4,2
87,9,"F10 ","2019-01-28 02:53:36.678614","2019-01-28 02:53:36.678614",1,5,4
86,8,"OUTLANDER","2019-01-28 02:53:36.637684","2019-01-28 02:53:36.637684",6,7,4
85,7,"GRAND CARNIVAL","2019-01-28 02:53:36.55388","2019-01-28 02:53:36.55388",5,8,4
1,1,"MYVI","2019-01-16 12:49:25.822928","2019-01-16 12:49:25.822928",4,5,4
2,1,"BEZZA","2019-01-16 12:49:25.8652","2019-01-16 12:49:25.8652",1,5,4
3,1,"AXIA","2019-01-16 12:49:25.88944","2019-01-16 12:49:25.88944",4,5,4
4,1,"VIVA","2019-01-16 12:49:25.913777","2019-01-16 12:49:25.913777",4,5,4
5,1,"ALZA","2019-01-16 12:49:25.938115","2019-01-16 12:49:25.938115",5,7,4
6,2,"SAGA","2019-01-16 12:49:25.967948","2019-01-16 12:49:25.967948",1,5,4
7,2,"PERSONA ","2019-01-16 12:49:25.991969","2019-01-16 12:49:25.991969",1,5,4
8,2,"IRIZ","2019-01-16 12:49:26.017987","2019-01-16 12:49:26.017987",4,5,4
9,2,"EXORA","2019-01-16 12:49:26.042348","2019-01-16 12:49:26.042348",5,7,4
10,2,"PREVE","2019-01-16 12:49:26.066681","2019-01-16 12:49:26.066681",1,5,4
11,2,"SUPRIMA S ","2019-01-16 12:49:26.091453","2019-01-16 12:49:26.091453",4,5,4
12,2,"INSPIRA ","2019-01-16 12:49:26.115768","2019-01-16 12:49:26.115768",1,5,4
13,3,"CAMRY ","2019-01-16 12:49:26.144983","2019-01-16 12:49:26.144983",1,5,4
14,3,"AVANZA","2019-01-16 12:49:26.168956","2019-01-16 12:49:26.168956",5,7,4
16,3,"ESTIMA","2019-01-16 12:49:26.217013","2019-01-16 12:49:26.217013",5,7,4
17,3,"VELLFIRE ","2019-01-16 12:49:26.240888","2019-01-16 12:49:26.240888",5,7,4
18,3,"WISH ","2019-01-16 12:49:26.264041","2019-01-16 12:49:26.264041",5,7,4
20,3,"INNOVA","2019-01-16 12:49:26.315198","2019-01-16 12:49:26.315198",5,7,4
21,3,"PRIUS ","2019-01-16 12:49:26.344021","2019-01-16 12:49:26.344021",1,5,4
