"id","vehicle_model_id","mileage_id","year","plate_num","transmission","hourly_rate","daily_rate","weekly_rate","monthly_rate","address","latitude","longitude","delivery_rate","pickup_instruction","return_instruction","description","view_count","is_available","is_verified","created_at","updated_at","user_id","min_hour","max_hour","is_image_verified","deleted_at","booking_count","rating","features","old_id"
5,3,3,2018,"VAX7060","auto",120,120,120,120,"44 Jalan Sri Petaling 1,Sri Petaling,Kuala Lumpur,57000,Wilayah Persekutuan Kuala Lumpur",3.073293,101.6936336,,"self pick up","my house","Nice and clean. Well maintained.",0,FALSE,TRUE,"2019-01-17 19:13:54.211715","2019-02-26 04:11:17.078147",10130,5,,FALSE,,0,,"{}",
11,1,2,2012,"YYCYCYCYC","auto",7,130,700,1680," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"vjvyvyv","jvyc","jvuvuvv",0,FALSE,FALSE,"2019-01-18 10:08:13.511745","2019-02-26 11:07:08.836833",2,5,,FALSE,"2019-01-18 12:03:58.300864",0,,"{}",
8,1,3,2015,"GFSS","auto",7,80,700,1720," Jalan Cenderawasih,Tasik Perdana,Kuala Lumpur,50480,Wilayah Persekutuan Kuala Lumpur",3.1453121,101.6868601,,"cfv","vgg","cfg",0,FALSE,FALSE,"2019-01-17 20:10:58.11679","2019-01-21 15:32:11.679763",2,5,,FALSE,"2019-01-21 15:32:11.674156",0,,"{}",
2798,1,2,2017,"JRS84","auto",7,130,700,1482,"Felda Papan Timur Bandar Mas Kota Tinggi Johor Malaysia",1.612962,104.1495361,,,,"This my lovely new car",0,TRUE,TRUE,"2017-08-03 21:03:03","2019-02-25 19:02:30.864619",2895,5,,FALSE,,0,,"{}",1638
7,24,3,2015,"BPJ7700","auto",12,200,1200,2880,"Unnamed Road, Bangsar, Kuala Lumpur, 59100, Federal Territory of Kuala Lumpur",3.1107584,101.6672652,,"Parked near my news","Return back to original spot","New and well maintained, smoking not allowed.",0,TRUE,TRUE,"2019-01-17 19:28:18.043584","2019-03-18 16:51:17.073475",12561,5,,FALSE,"2019-01-18 16:49:11.065823",0,,"{}",
2302,4,2,2018,"W7956D","auto",6,100,600,1140,"47630, Jalan USJ 18/4, Usj 18, Subang Jaya, Selangor, Malaysia",3.0339625,101.5859477,,,,"-Comfortable , new feel with  fragrance to give you a soothing drive. 
- super clear radio signal to 6 stations and can be adjusted as per what you like
-  equipped with arm rest",0,TRUE,TRUE,"2018-04-11 23:37:12","2019-02-25 19:54:38.235099",11735,5,,FALSE,,0,,"{}",1922
4,50,3,2016,"VBL9703","auto",35,600,2500,6000,"2938 Jalan Bukit Ledang, Bukit Damansara, Kuala Lumpur, 50480, Wilayah Persekutuan Kuala Lumpur",3.1496898,101.6737393,,"Parked opposite the road, under the tree. Can be delivered to you by contacting moovby after I approve you.","Park back at the same spot under the tree","Well maintained car, full spec. 

Always made sure it is clean.",0,TRUE,TRUE,"2019-01-17 19:12:22.749698","2019-03-18 16:51:17.049723",12561,5,,FALSE,"2019-01-18 16:41:01.588076",0,,"{}",
12,1,2,2012,"WD9279P","auto",7,130,705,1680," KL Eco City Road,Midvalley City,Kuala Lumpur,59200,Wilayah Persekutuan Kuala Lumpur",3.1190784,101.6743531,,"Pickup","Return","Best car ever ! ",0,FALSE,FALSE,"2019-01-18 10:29:28.51993","2019-01-19 02:27:25.221239",2,5,,FALSE,"2019-01-18 10:34:59.709355",0,,"{}",
10,6,1,2018,"VBT7513","auto",120,120,120,120,"599 Jalan Klang Lama,Taman United,Kuala Lumpur,58000,Wilayah Persekutuan Kuala Lumpur",3.085836,101.674059,,"Pearl Suria Residence","Pearl Suria Residence","New Proton Saga VVT Executive Model. ",0,FALSE,TRUE,"2019-01-18 08:15:37.282381","2019-01-19 02:27:25.235857",9895,5,,FALSE,"2019-01-18 08:17:21.354492",0,,"{}",
3379,6,2,2016,"VN8601","auto",7,120,700,1368,"Cheras 9 Miles Selangor Malaysia",3.068518,101.7704228,,,,"Very New Very Clear And Affordable ",0,TRUE,TRUE,"2017-11-27 21:37:20","2019-01-29 21:10:23.62477",9832,5,,FALSE,,0,,"{}",1807
